INCIDENT_KEY,BORO,PRECINCT,JURISDICTION_CODE,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lon_Lat,DAY,MONTH,YEAR,WEEKDAY,time_HOUR,time_MINUTE,time_SECOND,PERP_AGE_GROUP_MIN,PERP_AGE_GROUP_MAX,PERP_AGE_MEAN,VIC_AGE_GROUP_MIN,VIC_AGE_GROUP_MAX,VIC_AGE_MEAN
155711279,0,44,0.0,0,1,1,2,2,0,6,1008545,246212,40.84244507100004,-73.91219505799995,POINT (-73.91219505799995 40.842445071000036),11,8,2016,4,14,47,0,18,24,21.0,45,64,54.5
77443444,1,67,0.0,0,1,1,2,1,1,2,1006114,179560,40.65950864300004,-73.92119781299994,POINT (-73.92119781299994 40.65950864300004),25,2,2011,0,1,17,0,18,24,21.0,25,44,34.5
32949483,4,120,0.0,0,3,1,2,1,1,2,962748,174174,40.64472613100002,-74.07748315899995,POINT (-74.07748315899995 40.64472613100002),7,7,2007,2,2,22,0,25,44,34.5,25,44,34.5
159826969,1,73,0.0,0,1,1,2,0,1,2,1008549,178741,40.65725432200002,-73.91242438599994,POINT (-73.91242438599994 40.65725432200002),31,12,2016,2,21,0,0,18,24,21.0,18,24,21.0
74363837,3,101,0.0,0,1,1,2,1,1,2,1052603,159210,40.603415582000025,-73.75384586599995,POINT (-73.75384586599995 40.603415582000025),29,8,2010,3,4,25,0,18,24,21.0,25,44,34.5
83141833,3,100,0.0,0,4,1,2,1,0,2,1033656,152628,40.58547523300007,-73.82212647299998,POINT (-73.82212647299998 40.58547523300007),13,2,2012,1,13,32,0,45,64,54.5,25,44,34.5
77801473,1,70,0.0,1,1,1,2,1,1,5,994806,168166,40.62825526300003,-73.96197264999995,POINT (-73.96197264999995 40.62825526300003),18,3,2011,0,5,35,0,18,24,21.0,25,44,34.5
51110045,1,83,0.0,0,3,1,2,1,1,2,1008603,191767,40.693007599000055,-73.91218269899997,POINT (-73.91218269899998 40.693007599000055),8,9,2008,1,23,10,0,25,44,34.5,25,44,34.5
72688589,0,41,0.0,0,1,1,2,1,0,6,1014837,239207,40.823198822000045,-73.88948662699994,POINT (-73.88948662699994 40.823198822000045),12,5,2010,6,22,20,0,18,24,21.0,25,44,34.5
86990675,1,79,0.0,0,1,1,2,4,1,2,1000547,186864,40.67956848700004,-73.94124508799997,POINT (-73.94124508799997 40.67956848700004),29,9,2012,2,23,25,0,18,24,21.0,0,18,9.0
24157457,3,100,0.0,0,1,1,2,0,1,2,1035212,152992,40.58646552900007,-73.81652172299994,POINT (-73.81652172299994 40.58646552900007),4,9,2006,1,22,50,0,18,24,21.0,18,24,21.0
46969205,1,69,2.0,0,3,1,2,1,1,2,1016452,170415,40.63437605200004,-73.88398062199997,POINT (-73.88398062199997 40.63437605200004),3,6,2008,5,18,25,0,25,44,34.5,25,44,34.5
26069302,2,25,2.0,1,1,1,6,4,1,3,1000598,231062,40.800880893000055,-73.94095380699997,POINT (-73.94095380699997 40.800880893000055),3,1,2007,6,2,0,0,18,24,21.0,0,18,9.0
86142905,1,75,0.0,0,1,1,2,1,1,2,1016056,186594,40.67878526100003,-73.88533106599994,POINT (-73.88533106599994 40.67878526100003),7,8,2012,5,23,4,0,18,24,21.0,25,44,34.5
85440354,4,120,0.0,0,1,1,2,1,1,2,960510,174384,40.64529681900007,-74.08554844999998,POINT (-74.08554844999998 40.64529681900007),25,6,2012,1,21,50,0,18,24,21.0,25,44,34.5
10764207,1,71,0.0,0,7,1,2,0,1,2,1002160,182377,40.66724956500008,-73.93544158499998,POINT (-73.93544158499998 40.66724956500008),21,3,2006,5,17,40,0,0,18,9.0,18,24,21.0
172233872,4,121,0.0,1,3,1,6,1,1,6,936722,172119,40.63898417600007,-74.17125230499995,POINT (-74.17125230499995 40.63898417600007),2,12,2017,2,22,7,0,25,44,34.5,25,44,34.5
59544687,1,75,2.0,0,7,1,6,1,1,2,1021153,182357,40.66713587700008,-73.86697804199997,POINT (-73.86697804199997 40.66713587700008),13,3,2009,0,23,29,0,0,18,9.0,25,44,34.5
